step;ros_timestamp;ft_wrench_fx;ft_wrench_fy;ft_wrench_fz;ft_wrench_tx;ft_wrench_ty;ft_wrench_tz;current_absolute_pose_x;current_absolute_pose_y;current_absolute_pose_z;current_twist_vx;current_twist_vy;current_twist_vz;current_twist_wx;current_twist_wy;current_twist_wz;action_f_x;action_f_y;action_f_z;action_t_x;action_t_y;action_t_z;reward
32;1,0971;0,58366835;;-1,0;-0,073582076;1,0;;0,62393266;0,1260804;0,53974175;-0,011117039;0,008274208;-0,024264004;-0,18302615;0,062477197;-0,2923557;0,23644954;0,15695868;-0,06689753;-0,1665304;-0,4692243;0,074381866;0,0
33;1,1271;0,3865151;-0,1353961;-0,9409558;0,46474347;1,0;0,14166908;0,6237172;0,12613198;0,539644;-0,018665634;0,004217802;-0,022870826;-0,18185516;0,04612879;-0,3346041;0,23633872;0,1547061;-0,0691501;-0,16660774;-0,47092593;0,07331836;0,0
34;1,1571;0,13960764;-0,24324708;-0,47243944;;;0,11907662;0,6235665;0,12623788;0,5396832;-0,01881549;0,0046335957;-0,017591732;-0,18898565;-0,0035004087;-0,32126915;0,21276483;0,1535503;-0,07520788;-0,17356595;-0,49328756;0,06955475;0,0
35;1,1971;-0,046782803;0,04367409;-0,08069185;-0,0075244852;-0,121001184;0,12700139;0,6236516;0,12650505;0,53959256;-0,0077380347;0,011518986;-0,011223465;-0,2042673;-0,06077958;-0,22162868;0,19039407;0,1683638;-0,080002226;-0,17389703;-0,52508116;0,090533435;0,0
36;1,2271;;0,023970647;0,0056296196;-0,009978918;0,07143172;0,1328737;0,623803;0,12664753;0,53943276;0,0020578955;0,016251883;-0,012799782;-0,20865317;-0,04780584;-0,15661384;0,15698372;0,20857151;-0,05695137;-0,17854485;-0,57014346;0,09811294;0,0
37;1,2571;0,013869581;0,05572172;-0,011730572;-0,06940146;0,03279582;0,13173437;0,6239267;0,12677747;0,5393176;0,008385655;0,020556558;-0,012928268;-0,21292469;-0,03923948;-0,11389857;0,14315473;0,23364745;-0,04413032;-0,19662395;-0,64108646;0,17632261;0,0
38;1,2871;0,018047947;0,05040751;0,018380582;-0,06835577;0,04311035;0,13039418;0,6240539;0,12698269;0,53916454;0,012084649;0,02500319;-0,01212881;-0,22189124;-0,03422872;;0,13916598;0,24714978;-0,042882897;-0,19669002;-0,64254;0,21115759;0,0
39;1,3272;0,023926834;0,043861117;0,005534192;-0,05688993;0,049421612;0,13248377;0,6242216;0,127272;0,53901476;0,015339105;0,03005108;-0,011275109;-0,23285058;-0,028106745;;0,13369536;0,2766702;-0,030519368;-0,21011332;-0,6682445;0,2665792;0,0
40;1,3672;0,091087654;0,044328284;-0,10866101;-0,048346605;0,24364297;0,13498138;0,6243637;0,12759005;0,53890866;0,016568068;0,03429489;-0,010226375;-0,24362311;-0,025093561;-0,031218573;0,116295986;0,2925309;-0,009756699;-0,22114363;-0,6903233;0,30384204;0,0
41;1,4072;0,29006028;0,0925448;-0,34023568;-0,18513896;0,8208133;0,14888386;0,62443215;0,12784041;0,53883654;0,012364593;0,03549374;-0,009886946;;-0,013304087;-0,05134604;0,0979571;0,29486978;0,0146410335;-0,20975493;-0,7093796;0,3174629;0,0
42;1,4472;0,40278906;0,11844315;-0,6123496;-0,25270352;1,0;0,15166423;0,6243621;0,1280701;0,53876305;0,0025601115;0,03315035;-0,010936366;-0,25357717;0,015000041;-0,10956903;0,094793975;0,29901496;0,01878621;-0,20274647;-0,6940825;0,3270236;0,0
43;1,4871;0,45957488;;-0,69599164;-0,048618346;;0,15115944;0,62420684;0,1283188;0,53867507;-0,009323429;0,030102575;-0,010502132;-0,24847367;0,027430158;-0,17280942;0,11102287;0,29206395;0,016737154;-0,19574206;-0,6707045;0,3518473;0,0
44;1,5171;0,23378785;-0,0871505;-0,48896447;0,3132652;0,6983688;0,15118559;0,6240596;0,12848929;0,53864336;-0,016378524;0,028358333;-0,007085768;;0,009301196;-0,20590605;0,13470665;0,29195797;0,026435098;-0,20218992;-0,6573285;0,36020726;0,0
45;1,5671;0,02205965;-0,012342567;-0,09903065;0,11507216;0,06638184;0,14206387;0,6239472;0,12896326;0,5386499;-0,012084489;0,032861676;-0,0010990864;-0,25012636;-0,029762566;-0,16151828;0,15105295;0,2834489;0,025278974;-0,19541048;-0,6634094;0,36151293;0,0
46;1,5971;;0,05918051;0,00054145785;-0,084957644;0,0345609;0,13927127;0,6240297;0,12926237;0,5386039;-0,0033796998;0,037237678;0,00025861355;-0,2512974;-0,030741282;-0,108886026;0,14983018;0,2835617;0,035195682;-0,20216528;-0,6812962;0,35543987;0,0
47;1,6371;0,0015661347;0,04069861;0,0009879463;-0,05086544;0,018631423;0,13820672;0,6241409;0,12964734;0,5385893;0,005622995;0,04093454;0,0015283976;-0,2535039;-0,026443737;-0,0608516;0,12093192;0,30147532;0,04085441;-0,20683992;-0,69426894;0,3422257;0,0
